"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"12","Florida",31876,36280,28958,1538727,2982643,1235227,353649,182118,10498005,10979732,16010079,3441062,59558,599799,16162,719525,1092451,476066,616385,254836,101055,153781,166241,33445,826398,220372,"2019"
"30","Montana",31313,37976,25500,69400,171309,52425,14847,10567,537170,531608,940423,7787,67603,8927,224,7297,50132,23948,26184,13734,6146,7588,15329,2330,26243,11202,"2019"
"27","Minnesota",40977,47704,34418,442578,942830,350476,85082,54838,2804216,2835416,4627588,370291,57414,285630,2753,109373,266465,117616,148849,72067,26565,45502,48879,8762,170073,62914,"2019"
"24","Maryland",45891,51361,40552,287293,911781,553133,131090,114226,2928013,3117667,3296909,1830059,19164,386194,2453,305343,321720,144832,176888,114870,45113,69757,34734,10590,236503,103235,"2019"
"45","South Carolina",32373,39893,27579,352549,656496,302770,56354,38939,2485001,2663713,3434467,1362917,18971,86571,7572,112685,236545,97423,139122,54886,23421,31465,47641,7690,142762,46474,"2019"
"23","Maine",35231,40678,30423,99008,205722,87322,21060,14895,656330,687882,1263287,21983,9419,15323,222,5442,62332,27754,34578,13282,4596,8686,10083,2029,35503,11097,"2019"
"15","Hawaii",40240,44411,36077,106096,219979,77835,22345,15050,707855,708017,341211,26923,6129,547843,152601,24697,68224,32367,35857,16949,7041,9908,6827,1787,52864,14547,"2019"
"11","District of Columbia",61960,69852,56071,16922,129825,107612,44240,19752,334355,371394,300058,320704,1886,28722,190,30868,46376,18396,27980,24113,10883,13230,6568,6154,15911,17471,"2019"
"44","Rhode Island",39145,45787,34812,64204,156087,72512,18950,12726,517221,542140,833690,78143,3341,37101,250,62236,74656,34596,40060,15742,6679,9063,8555,2879,40916,12591,"2019"
"31","Nebraska",36077,41536,30661,141189,277159,104377,24092,16959,966650,967758,1666763,94659,18964,47740,1850,51049,104516,50722,53794,31002,12090,18912,19800,4598,62309,26284,"2019"
"53","Washington",41735,50447,34172,527524,1204728,538939,122253,89712,3807572,3807321,5651091,305924,103882,684967,50139,365395,364428,172146,192282,82699,33448,49251,72050,9561,250931,72940,"2019"
"35","New Mexico",30276,35175,25617,129531,221281,119825,25708,27784,1036708,1060121,1549953,48337,199341,36549,924,189281,105715,46433,59282,27638,12308,15330,21948,3270,74901,24113,"2019"
"72","Puerto Rico",17101,17117,17076,258905,443589,124314,27969,30708,1515994,1677700,2054764,395439,3082,6573,183,506563,209704,94187,115517,43782,17079,26703,83044,9940,123865,33711,"2019"
"46","South Dakota",32908,40152,28766,69831,121231,38132,8827,6594,449458,435201,743764,20866,75809,11530,2073,5919,39996,17452,22544,7254,3246,4008,8111,180,21375,7014,"2019"
"48","Texas",35329,41239,29029,1402600,3750797,1484968,318581,222187,14385762,14610119,21273326,3553922,144993,1446073,27026,1714614,1522926,701744,821182,349160,152580,196580,261570,51851,1107670,293851,"2019"
"06","California",39549,44242,32406,2118792,5889724,2400918,672307,465535,19640794,19871429,23484958,2282144,321112,5865435,155871,5424558,2602279,1210011,1392268,541154,230999,310155,423261,76336,1948001,457697,"2019"
"01","Alabama",31962,40190,25958,301914,547975,246772,52179,38431,2369611,2533574,3326375,1319551,23265,66129,1892,74451,245959,103970,141989,55077,23007,32070,51100,8656,154276,46131,"2019"
"13","Georgia",35019,40395,30412,568130,1410395,640949,152402,97822,5170126,5447297,6131699,3390968,42316,439416,6947,321656,570395,240753,329642,148698,50878,97820,90876,21494,387574,126461,"2019"
"05","Arkansas",30818,35650,26457,151738,307185,121947,27975,18260,1474705,1543099,2315020,467468,17216,46078,12829,75590,144756,62297,82459,31852,13798,18054,30291,4945,86157,26420,"2019"
"42","Pennsylvania",37000,44105,30813,775694,1761627,827626,189863,138286,6272527,6529462,10193792,1454753,27088,453662,4148,335838,621464,280363,341101,170868,69243,101625,100976,29084,348014,139889,"2019"
"29","Missouri",34558,40522,29965,333721,775808,361205,78328,55940,3008169,3129259,5022939,703058,25516,127154,10214,76294,273925,123642,150283,79817,33137,46680,54428,15038,165572,63824,"2019"
"49","Utah",33396,44749,25596,184777,448109,156469,32681,27402,1610671,1595287,2799527,36918,35368,76470,30725,123376,223677,112652,111025,41258,19980,21278,46700,4463,159767,35126,"2019"
"40","Oklahoma",32323,40259,26914,207896,447888,166623,43315,28683,1962477,1994494,2865785,287414,316929,89950,4808,91920,192580,85107,107473,39796,16275,23521,44784,6391,116626,32500,"2019"
"47","Tennessee",32604,39010,28699,348886,845100,351914,82800,68410,3329115,3500059,5272910,1141304,20431,125742,3469,109072,303160,134363,168797,77993,30191,47802,47860,13059,202027,64504,"2019"
"56","Wyoming",34780,46506,26594,44034,73183,29454,6035,4885,296005,282754,525860,7116,13774,4633,754,10799,29989,13551,16438,7589,3632,3957,6129,1283,19469,6159,"2019"
"18","Indiana",33756,41268,27480,397627,777771,318939,65304,50812,3319907,3412312,5571899,643105,18416,170566,3254,150696,336963,151837,185126,72149,28668,43481,67715,14247,192770,55858,"2019"
"20","Kansas",35266,41524,27519,173251,414851,176966,37264,23408,1446287,1467027,2436902,167237,23860,87018,2453,87073,154872,73300,81572,35483,15238,20245,32042,5795,93909,29619,"2019"
"16","Idaho",31111,37742,24562,124584,220189,81863,19503,15100,898044,889021,1596918,12708,22867,25969,2475,67428,90843,45920,44923,17378,8465,8913,23544,1596,59398,15501,"2019"
"02","Alaska",40334,46001,34950,43394,89583,38960,10924,6690,380433,351112,469771,22551,115544,43678,9923,12602,32585,16449,16136,9475,2872,6603,5116,832,25627,8642,"2019"
"32","Nevada",35526,39335,31354,187469,355837,132910,35939,24233,1544779,1535377,1989116,296184,42426,261159,22587,324476,134114,61418,72696,32986,11356,21630,20540,4097,109347,28824,"2019"
"17","Illinois",39055,46333,31736,710058,1886240,892226,206788,123718,6217305,6454516,9044059,1790212,32600,717992,4511,730514,640069,290750,349319,192389,80348,112041,99407,33351,451260,155726,"2019"
"50","Vermont",35474,40185,31360,38706,101015,52196,11739,7322,309164,314825,585117,9435,2928,8603,386,2153,41494,18314,23180,8579,2856,5723,6859,1419,16935,7160,"2019"
"09","Connecticut",42196,50790,36085,190700,549166,323247,79580,42555,1743777,1821510,2660228,396745,9052,166393,1155,200646,208462,92397,116065,57223,23634,33589,20892,7949,135698,48952,"2019"
"34","New Jersey",45513,52345,37256,398984,1555781,720869,167040,108075,4342591,4539599,5964295,1203843,18440,856561,3254,571368,451251,211047,240204,131937,53759,78178,46841,14241,349237,114494,"2019"
